,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2022-02-04 23:58:25+00:00,1489750218992078850,"@KingOfTheFay 

She’d like to kiss that bloody mouth of his, and taste that wild cry. She’d like to grip him tightly while they fuck, and leave each other scratched, bitten and bruised.",BreathOfAnguish,1,𝐀𝖞𝖌𝐮𝖏𝐬𝖍 (SH),en
1,2022-02-04 23:58:00+00:00,1489750117041074176,"@libsoftiktok Life hack- step 1 try opening the doors, “trip and fall” claim injury and mental anguish. Step 2 sue the fuck out of the school and administrators",bj78us,0,Brandon,en
2,2022-02-04 23:56:08+00:00,1489749644376784909,@Corgimine @BTSsmash @chag_spc @Light_S21 @TweekSsb @chibiT2169 @DabuzSenpai @Mkleosb @Elegant_Matt @Sparg0ssb @GlutonnySSB anguish,docghosteggo,0,Ghostboi,tl
3,2022-02-04 23:55:30+00:00,1489749488721879042,"“Searing in blank of night, the serpent’s sting
         Venoms my heart with acid rue.
Black fancies seethe, and floods of anguish blast
         The corners of my burdened soul;”

– Alexander Pushkin, Remembrance https://t.co/QKgdY4124F",AnalectsofAlex,10,Alex,en
4,2022-02-04 23:53:50+00:00,1489749068137984004,@amayabutsecret Honestly Brie shilling for NFTs has caused me more anguish than two years of a pandemic 😢,ShootingTsars,3,#1 Transgender (World Record),en
5,2022-02-04 23:53:45+00:00,1489749047984463872,"@djblkbeltjames @Toure I’m not talking about a white dude calling you the n-word, I’m talking about someone, whom you know is not racist, merely speaking the word, without racist intend.

Hearing the word causes you mental anguish... from anybody or just white people? How about from Jesse Lee Peterson?",ClintBlake7,0,ClintBlake,en
6,2022-02-04 23:52:55+00:00,1489748834691403779,"you scream, and so does the chorus in unison, a neat bark of anguish dragging a hundred weak trembling groans in its wake. three bands, then six, driving the pitch up.

the delicate sonic spatter after each note has its own beauty, white noise like weeping waves.",badend_doll,7,love you love you love you love you love you love,en
7,2022-02-04 23:52:02+00:00,1489748612284305408,@plynnr1 @piecesofbluee @modooborahae Sometimes you have to slow down in life. Constant anguish can make us sick. Namjoon in his song it rains forever invites us to reflect on our feelings,MusicoFanArte,2,Rodri-T,en
8,2022-02-04 23:50:25+00:00,1489748209551298560,playing sonic unleashed  makes me wanna scream from either immense glee or in anguish,M4DGUMMY__,2,prince!! ☻︎ it/its,en
9,2022-02-04 23:49:55+00:00,1489748082006892544,Strawson be rolling in his grave... https://t.co/jnmybEFrhc,EdvardoTorres,1,Wittgensteinian anguish,en
10,2022-02-04 23:49:39+00:00,1489748014876954624,"I miss you to the point of anguish and it pains me that I couldn't say a proper goodbye. If I had the chance, though, I probably wouldn't say much.",girpquotes,0,genshinrp quotes,en
11,2022-02-04 23:49:06+00:00,1489747877580713988,"My leagues RNG summed up.

Grabbing a zenny for the anguish then it's off to the Inferno. Haven't been there since July but I think we've still got it :)

Chill radio style stream, see you there 🦍👍

https://t.co/JGYjx5eByd https://t.co/692SyG2xAw",MatthisGG,5,Matthis,en
12,2022-02-04 23:48:12+00:00,1489747649058070533,"A . . . hug?

. . . . https://t.co/5SEGutNHFh",BreathOfAnguish,0,𝐀𝖞𝖌𝐮𝖏𝐬𝖍 (SH),en
13,2022-02-04 23:46:39+00:00,1489747260497870849,"‘known’ for against evil. This
https://t.co/kBssdBV0yL
What else be captured and kept in a breathless point of anguish.
https://t.co/kY9pDXI97U",kevinexell,0,kevin_firgiano,en
14,2022-02-04 23:46:30+00:00,1489747220081496066,"We will forever be tangled as one, my bright burning love. I would happily bleed for you, if you wished, and watch you slaughter while my hunger for you rises. https://t.co/EdD4LXQfLj",BreathOfAnguish,1,𝐀𝖞𝖌𝐮𝖏𝐬𝖍 (SH),en
